dip,Género,Provincia,Ciudad,Colegio,Administración del Colegio,Edad
260910,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
487541,MASCULINO,MURILLO,LA PAZ,COL.NAL.TEC.HUM. FRANZ TAMAYO NAAAAAAAAO3,FISCAL,31
748784,MASCULINO,MURILLO,LA PAZ,DIVINO MAESTRO,PRIVADA,33
1763419,MASCULINO,MURILLO,LA PAZ,CIE 12 DE OCTUBRE,FISCAL,51
2140504,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
2143386,MASCULINO,MURILLO,LA PAZ,HARRY PITTMAN,PRIVADA,52
2152072,MASCULINO,MURILLO,LA PAZ,JUAN CAPRILES,FISCAL,52
2283378,MASCULINO,FRIAS,POTOSI,DON BOSCO,CONVENIO,52
2315516,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,26
2318517,MASCULINO,MURILLO,LA PAZ,LIBERTADORES DE AMERICA,FISCAL,52
2379805,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
2446562,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
2539628,MASCULINO,MURILLO,LA PAZ,AMERICAN SCHOOL,PRIVADA,51
2588443,FEMENINO,MURILLO,LA PAZ,CEMA MAX PAREDES,CEMA,52
2616468,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
2621074,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
2642306,MASCULINO,MURILLO,LA PAZ,SAN FRANCISCO,PRIVADA,52
2643974,FEMENINO,MURILLO,LA PAZ,LOS PINOS,PRIVADA,44
2703717,MASCULINO,MURILLO,LA PAZ,DR.MARTIN CARDENAS,PRIVADA,44
2709078,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16
3322471,FEMENINO,MURILLO,LA PAZ,FRANCO BOLIVIANO,PRIVADA,43
3324122,FEMENINO,MURILLO,LA PAZ,TEC. MIXTO FABRIL 18 DE MAYO FE Y ALEGRIA,FISCAL,45
3327350,MASCULINO,MURILLO,EL ALTO,ABRAHAM REYES,FISCAL,51
3359358,MASCULINO,MURILLO,LA PAZ,ANGLO AMERICANO,PRIVADA,51
3370951,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52
3373118,MASCULINO,NOR YUNGAS,COROICO,SAN ANTONIO DE PADUA,PRIVADA,52
3392540,MASCULINO,MURILLO,LA PAZ,OTRO,PRIVADA,52
3422544,FEMENINO,MURILLO,LA PAZ,LOS PINOS,PRIVADA,52
3436597,MASCULINO,MURILLO,LA PAZ,CEA DANIEL SANCHEZ BUSTAMANTE,FISCAL,52
3438346,MASCULINO,SUD YUNGAS,LA CHOJLLA,GUALBERTO VILLARROEL,FISCAL,52
3438429,FEMENINO,MURILLO,LA PAZ,NACIONAL FLORIDA,FISCAL,41
3445570,MASCULINO,MURILLO,LA PAZ,SAGRADO CORAZON DE JESUS,PRIVADA,41
3445878,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,38
3446133,MASCULINO,MURILLO,LA PAZ,MONTSERRAT,PRIVADA,38
3448984,FEMENINO,A. IBANEZ,SANTA CRUZ,MONTESSORI,PRIVADA,43
3459301,MASCULINO,MURILLO,LA PAZ,COLEGIO SANCHEZ BUSTAMANTE,CEMA,52
3460083,FEMENINO,MURILLO,LA PAZ,SAN SIMON DE AYACUCHO,FISCAL,45
