dip,Género,Provincia,Ciudad,Colegio,Administración del Colegio,Edad,Provincia_LE,Ciudad_LE,Género_FEMENINO,Género_MASCULINO,Género_NO RESPONDE,Administración del Colegio_CEMA,Administración del Colegio_CONVENIO,Administración del Colegio_FISCAL,Administración del Colegio_OTRO,Administración del Colegio_PRIVADA,Edad_std
260910,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16,32,44,0,1,0,0,0,1,0,0,-2.664500098737386
487541,MASCULINO,MURILLO,LA PAZ,COL.NAL.TEC.HUM. FRANZ TAMAYO NAAAAAAAAO3,FISCAL,31,32,44,0,1,0,0,0,1,0,0,-0.6095545560455734
748784,MASCULINO,MURILLO,LA PAZ,DIVINO MAESTRO,PRIVADA,33,32,44,0,1,0,0,0,0,0,1,-0.3355618170199984
1763419,MASCULINO,MURILLO,LA PAZ,CIE 12 DE OCTUBRE,FISCAL,51,32,44,0,1,0,0,0,1,0,0,2.130372834210177
2140504,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16,32,44,0,1,0,0,0,1,0,0,-2.664500098737386
2143386,MASCULINO,MURILLO,LA PAZ,HARRY PITTMAN,PRIVADA,52,32,44,0,1,0,0,0,0,0,1,2.2673692037229642
2152072,MASCULINO,MURILLO,LA PAZ,JUAN CAPRILES,FISCAL,52,32,44,0,1,0,0,0,1,0,0,2.2673692037229642
2283378,MASCULINO,FRIAS,POTOSI,DON BOSCO,CONVENIO,52,18,54,0,1,0,0,1,0,0,0,2.2673692037229642
2315516,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,26,32,44,0,1,0,0,0,1,0,0,-1.294536403609511
2318517,MASCULINO,MURILLO,LA PAZ,LIBERTADORES DE AMERICA,FISCAL,52,32,44,0,1,0,0,0,1,0,0,2.2673692037229642
2379805,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52,32,44,0,0,1,0,0,1,0,0,2.2673692037229642
2446562,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16,32,44,0,1,0,0,0,1,0,0,-2.664500098737386
2539628,MASCULINO,MURILLO,LA PAZ,AMERICAN SCHOOL,PRIVADA,51,32,44,0,1,0,0,0,0,0,1,2.130372834210177
2588443,FEMENINO,MURILLO,LA PAZ,CEMA MAX PAREDES,CEMA,52,32,44,1,0,0,1,0,0,0,0,2.2673692037229642
2616468,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16,32,44,0,1,0,0,0,1,0,0,-2.664500098737386
2621074,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16,32,44,0,1,0,0,0,1,0,0,-2.664500098737386
2642306,MASCULINO,MURILLO,LA PAZ,SAN FRANCISCO,PRIVADA,52,32,44,0,1,0,0,0,0,0,1,2.2673692037229642
2643974,FEMENINO,MURILLO,LA PAZ,LOS PINOS,PRIVADA,44,32,44,1,0,0,0,0,0,0,1,1.1713982476206644
2703717,MASCULINO,MURILLO,LA PAZ,DR.MARTIN CARDENAS,PRIVADA,44,32,44,0,1,0,0,0,0,0,1,1.1713982476206644
2709078,MASCULINO,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,16,32,44,0,1,0,0,0,1,0,0,-2.664500098737386
3322471,FEMENINO,MURILLO,LA PAZ,FRANCO BOLIVIANO,PRIVADA,43,32,44,1,0,0,0,0,0,0,1,1.0344018781078768
3324122,FEMENINO,MURILLO,LA PAZ,TEC. MIXTO FABRIL 18 DE MAYO FE Y ALEGRIA,FISCAL,45,32,44,1,0,0,0,0,1,0,0,1.3083946171334517
3327350,MASCULINO,MURILLO,EL ALTO,ABRAHAM REYES,FISCAL,51,32,32,0,1,0,0,0,1,0,0,2.130372834210177
3359358,MASCULINO,MURILLO,LA PAZ,ANGLO AMERICANO,PRIVADA,51,32,44,0,1,0,0,0,0,0,1,2.130372834210177
3370951,NO RESPONDE,MURILLO,LA PAZ,SAN CALIXTO,FISCAL,52,32,44,0,0,1,0,0,1,0,0,2.2673692037229642
3373118,MASCULINO,NOR YUNGAS,COROICO,SAN ANTONIO DE PADUA,PRIVADA,52,34,29,0,1,0,0,0,0,0,1,2.2673692037229642
3392540,MASCULINO,MURILLO,LA PAZ,OTRO,PRIVADA,52,32,44,0,1,0,0,0,0,0,1,2.2673692037229642
3422544,FEMENINO,MURILLO,LA PAZ,LOS PINOS,PRIVADA,52,32,44,1,0,0,0,0,0,0,1,2.2673692037229642
3436597,MASCULINO,MURILLO,LA PAZ,CEA DANIEL SANCHEZ BUSTAMANTE,FISCAL,52,32,44,0,1,0,0,0,1,0,0,2.2673692037229642
3438346,MASCULINO,SUD YUNGAS,LA CHOJLLA,GUALBERTO VILLARROEL,FISCAL,52,47,42,0,1,0,0,0,1,0,0,2.2673692037229642
3438429,FEMENINO,MURILLO,LA PAZ,NACIONAL FLORIDA,FISCAL,41,32,44,1,0,0,0,0,1,0,0,0.7604091390823018
3445570,MASCULINO,MURILLO,LA PAZ,SAGRADO CORAZON DE JESUS,PRIVADA,41,32,44,0,1,0,0,0,0,0,1,0.7604091390823018
3445878,FEMENINO,MURILLO,LA PAZ,INSTITUTO AMERICANO,PRIVADA,38,32,44,1,0,0,0,0,0,0,1,0.3494200305439392
3446133,MASCULINO,MURILLO,LA PAZ,MONTSERRAT,PRIVADA,38,32,44,0,1,0,0,0,0,0,1,0.3494200305439392
3448984,FEMENINO,A. IBANEZ,SANTA CRUZ,MONTESSORI,PRIVADA,43,0,68,1,0,0,0,0,0,0,1,1.0344018781078768
3459301,MASCULINO,MURILLO,LA PAZ,COLEGIO SANCHEZ BUSTAMANTE,CEMA,52,32,44,0,1,0,1,0,0,0,0,2.2673692037229642
3460083,FEMENINO,MURILLO,LA PAZ,SAN SIMON DE AYACUCHO,FISCAL,45,32,44,1,0,0,0,0,1,0,0,1.3083946171334517
3460531,FEMENINO,MURILLO,LA PAZ,LICEO LA PAZ,FISCAL,47,32,44,1,0,0,0,0,1,0,0,1.582387356159027
3460619,MASCULINO,MURILLO,LA PAZ,SAN ANTONIO DE PADUA,PRIVADA,42,32,44,0,1,0,0,0,0,0,1,0.8974055085950893
